,DLSs01,DLSs02,DLSs03,DLSse01,DLSse02,DLSse03,DPSs202001,DPSs202002,DPSs202003,DPSse01,DPSse02,DPSse03,HLs202001,HLs202002,HLs202003,HLse01,HLse02,HLse03,SLTs202001,SLTs202002,SLTs202003,SLTse01,SLTse02,SLTse03,SLs01,SLs02,SLs03,SLse01,SLse02,SLse03,XSs202001,XSs202002,XSse01,XSse02,XSse03,XsSs202003
Zotu10113,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10114,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10115,2,1,1,0,0,0,1,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,6,0,0,0,1
Zotu10116,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10117,4,30,143,0,0,0,3,5,0,0,0,0,10,0,0,0,0,2,4,8,6,0,0,0,10,3,4,0,0,0,17,24,0,0,0,10
Zotu10118,0,3,1,0,0,0,0,0,1,1,0,0,5,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,9
Zotu10119,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Zotu1012,0,0,0,1,0,0,0,0,0,0,0,0,71,57,546,0,0,0,34,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Zotu10120,2,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu10121,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3
Zotu10122,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu10123,2,90,3,0,1,0,1,3,0,0,0,0,7,1,0,0,0,0,0,7,4,0,0,0,3,1,1,0,0,0,16,13,0,0,0,9
Zotu10124,0,3,0,0,0,0,0,0,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
Zotu10125,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu10126,0,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Zotu10127,0,6,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,3,0,2,0,0,0,0,1,0,0,0,1
Zotu10128,4,1,1,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2,0,0,0,3
Zotu10129,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1
Zotu1013,0,1,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,2,2,4,0,0,1,1,0,0,0,0,0,3,2,2,0,0,6
Zotu10130,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10132,2,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Zotu10133,29,3,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10134,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
Zotu10135,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Zotu10136,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu10137,8,1,108,1,1,1,0,0,0,1,0,0,1,1,0,0,0,7,0,1,0,0,0,2,3,1,1,0,0,0,1,0,1,0,0,4
Zotu10138,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
Zotu10139,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1014,1,0,6,0,0,0,2,0,1,0,0,0,23,10,155,0,0,0,16,8,4,0,0,0,20,2,7,0,0,0,42,10,0,7,1,9
