,DLSm01,DLSm02,DLSm03,DLSt01,DLSt02,DLSt03,DPSm01,DPSm02,DPSm03,DPSt01,DPSt02,DPSt03,HLm01,HLm02,HLm03,HLt01,HLt02,HLt03,SLTm01,SLTm02,SLTm03,SLTt01,SLTt02,SLTt03,SLm01,SLm02,SLm03,SLt01,SLt02,SLt03,XSm01,XSm02,XSm03,XSt01,XSt02,XSt03
Zotu4782,1,0,0,3,2,2,0,1,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,14,3,1,1,0,0,2,3,0
Zotu4783,0,0,3,1,1,7,1,1,3,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,2
Zotu4784,0,1,3,1,3,1,3,0,1,1,0,0,1,0,0,3,14,0,1,0,4,1,3,0,1,0,0,0,0,0,0,0,0,1,1,2
Zotu4785,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Zotu4786,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4787,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Zotu4789,6,1,3,1,1,0,0,5,7,1,1,2,3,2,1,0,0,0,5,1,0,2,0,0,3,0,4,7,3,0,4,1,7,1,3,0
Zotu479,4,1,4,2,0,0,3,2,0,2,0,0,23,0,0,0,0,0,1,3,1,4,0,0,6,1,11,1,7,0,3,1,1,0,0,10
Zotu4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Zotu4791,0,1,0,1,2,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
Zotu4792,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4793,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4794,6,3,4,0,1,0,0,3,2,3,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,7,3,0,3,5,4,3,7,1,0
Zotu4795,0,0,6,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Zotu4796,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu4797,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu4798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4799,3,5,5,16,13,3,0,10,7,7,3,2,6,2,1,2,0,1,2,3,2,5,3,3,2,13,3,8,1,14,10,3,20,3,5,5
Zotu48,424,360,441,471,494,1048,132,476,169,504,122,311,795,1233,328,324,49,397,241,602,205,152,200,327,789,1826,348,337,75,477,1245,331,2374,351,212,296
Zotu480,67,37,163,24,6,14,21,143,203,15,75,16,35,38,64,28,0,17,102,7,8,33,23,15,21,24,77,7,0,22,38,24,36,16,83,1
Zotu4800,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,1,0,30,0,0,2,0,0,2,0,2,0,0,0,0,0,2,0,6,5,0
