,DLSs01,DLSs02,DLSs03,DLSw01,DLSw02,DLSw03,DPSs01,DPSs02,DPSs03,DPSw01,DPSw02,DPSw03,HLs01,HLs02,HLs03,HLw01,HLw02,HLw03,SLTs01,SLTs02,SLTs03,SLTw01,SLTw02,SLTw03,SLs01,SLs02,SLs03,SLw01,SLw02,SLw03,XSs01,XSs02,XSs03,XSw01,XSw02,XSw03
Zotu1011,0,1,1,0,0,0,19,6,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0
Zotu10111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10112,0,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Zotu10113,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
Zotu10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10118,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10119,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0
Zotu1012,5,0,0,3,6,46,0,0,1,82,2,5,2,6,1,59,22,12,5,3,3,15,69,4,5,0,1,70,33,34,0,0,1,11,4,4
Zotu10120,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,11,0,0,0,0,0,0,0,0,1
Zotu10121,17,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0
