,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs01,DPSs02,DPSs03,DPSt01,DPSt02,DPSt03,HLs01,HLs02,HLs03,HLt01,HLt02,HLt03,SLTs01,SLTs02,SLTs03,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs01,XSs02,XSs03,XSt01,XSt02,XSt03
Zotu1004,60,30,69,20,31,5,4,5,0,87,10,17,49,14,9,16,1,6,2,1,3,17,16,19,12,39,73,20,0,7,6,2,2,34,7,0
Zotu10040,0,0,0,2,1,0,2,3,0,1,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,2,1,3,1,4,0,0,1,1
Zotu10042,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Zotu10046,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10047,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1005,1,0,7,0,8,0,1,0,0,0,0,0,0,0,0,3,2,11,0,0,0,0,6,0,1,1,1,0,5,0,0,1,2,8,14,0
Zotu10050,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,9,8,0,0,0,0,0,0,0,0,0
Zotu10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
Zotu10052,0,0,0,4,0,6,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,0,3,0,0,0,0,1,1,0,1
Zotu10053,0,0,1,4,3,6,0,0,0,1,0,2,1,0,0,6,0,18,0,0,0,0,3,2,0,1,0,1,0,8,0,0,0,3,2,1
